,image,json_data
33,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=751x1278 at 0x7F90CA7201F0>,"{'company': '99 SPEED MART S/B', 'date': '10-03-18', 'address': 'LOT P.T. 2811, JALAN ANGSA, TAMAN BERKELEY 41150 KLANG, SELANGOR 1572-TMN BKT PANDAN', 'total': '5.35'}"
34,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=793x1620 at 0x7F90CA7211B0>,"{'company': 'STAR GROCER SDN BHD', 'date': '25/03/18', 'address': 'NO 4, DESA PANDAN, OFF KAMPONG PANDAN, 55100 KUALA LUMPUR', 'total': '66.15'}"
35,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=932x2160 at 0x7F90CA720F40>,"{'company': 'PASARAYA BORONG PINTAR SDN BHD', 'date': '09/03/2018', 'address': 'NO 19-G& 19-1& 19-2 JALAN TASIK UTAMA 4, MEDAN NIAGA TASIK DAMAI', 'total': '10.40'}"
36,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=928x1769 at 0x7F90CA720C40>,"{'company': 'PASARAYA BORONG PINTAR SDN BHD', 'date': '14/03/2018', 'address': 'NO 19-G& 19-1& 19-2 JALAN TASIK UTAMA 4, MEDAN NIAGA TASIK DAMAI', 'total': '0.90'}"
37,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=936x2015 at 0x7F90CA720F10>,"{'company': 'RESTAURANT JIAWEI JIAWEI HOUSE', 'date': '23/2/2018', 'address': '13, JLN TASIK UTAMA 8 MEDAN NIAGA DAMAI SG BESI', 'total': '110.00'}"
38,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=928x1771 at 0x7F90CA720DF0>,"{'company': 'PASARAYA BORONG PINTAR SDN BHD', 'date': '30/01/2018', 'address': 'NO 19-G&19-1&19-2 JALAN TASIK UTAMA 4, MEDAN NIAGA TASIK DAMAI', 'total': '1.70'}"
39,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=932x1773 at 0x7F90CA721090>,"{'company': 'PASARAYA BORONG PINTAR SDN BHD', 'date': '14/02/2018', 'address': 'NO 19-G& 19-1& 19-2 JALAN TASIK UTAMA 4, MEDAN NIAGA TASIK DAMAI', 'total': '1.45'}"
40,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=936x3521 at 0x7F90CA721120>,"{'company': 'POPULAR BOOK CO. (M) SDN BHD', 'date': '23/12/17', 'address': 'NO 8, JALAN 7/118B, DESA TUN RAZAK 56000 KUALA LUMPUR, MALAYSIA', 'total': '140.65'}"
41,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=936x2753 at 0x7F90CA720E20>,"{'company': 'POPULAR BOOK CO. (M) SDN BHD', 'date': '20/08/17', 'address': 'NO 8, JALAN 7/118B, DESA TUN RAZAK 56000 KUALA LUMPUR, MALAYSIA', 'total': '5.05'}"
42,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=884x1904 at 0x7F90CA7208B0>,"{'company': 'EVERGREEN LIGHT SDN BHD', 'date': '10/07/2017', 'address': 'NO.7-1, JALAN PUTERI 7/11, BANDAR PUTERI, 47100 PUCHONG, BELANGOR', 'total': '56.00'}"
43,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=888x1620 at 0x7F90CA722380>,"{'company': 'HON HWA HARDWARE TRADING', 'date': '26/04/2017', 'address': 'NO 37, JALAN MANIS 7, TAMAN SEGAR, 56100 CHERAS, KUALA LUMPUR.', 'total': '7.20'}"
44,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=888x1621 at 0x7F90CA720EB0>,"{'company': 'HON HWA HARDWARE TRADING', 'date': '11/02/2017', 'address': 'NO 37, JALAN MANIS 7, TAMAN SEGAR, 56100 CHERAS, KUALA LUMPUR.', 'total': '19.60'}"
45,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=888x1615 at 0x7F90CA720CA0>,"{'company': 'HON HWA HARDWARE TRADING', 'date': '05/01/2017', 'address': 'NO 37, JALAN MANIS 7, TAMAN SEGAR, 56100 CHERAS, KUALA LUMPUR.', 'total': '5.00'}"
46,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=888x1900 at 0x7F90CA721030>,"{'company': 'EVERGREEN LIGHT SDN BHD', 'date': '18/09/2017', 'address': 'NO.7-1, JALAN PUTERI 7/11, BANDAR PUTERI, 47100 PUCHONG, BELANGOR', 'total': '26.00'}"
47,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=936x2915 at 0x7F90CA7205E0>,"{'company': 'VIVOPAC MARKETING SDN BHD', 'date': '17/01/2017', 'address': '14 JALAN MANIS 4 TAMAN SEGAR 56100 KL', 'total': '46.65'}"
48,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=932x2695 at 0x7F90CA720550>,"{'company': 'VIVOPAC MARKETING SDN BHD', 'date': '13/09/2017', 'address': '14 JALAN MANIS 4 TAMAN SEGAR 56100 KL', 'total': '52.45'}"
49,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=710x2030 at 0x7F90CA720460>,"{'company': 'FY EAGLE ENTERPRISE', 'date': '07/12/2017', 'address': 'NO. 42, JALAN PBS 14/11, TAMAN PERINDUSTRIAN BUKIT SERDANG, 43300 SERI KEMBANGAN, SELANGOR', 'total': '10.00'}"
50,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=884x2466 at 0x7F90CA7204C0>,"{'company': 'MODERN DEPOT SDN BHD', 'date': '04/12/2016', 'address': 'NO.19, PT18685, JALAN JAMBU MELAKA 2, JINJANG SELATAN, KEPONG.', 'total': '150.00'}"
51,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=764x1717 at 0x7F90CA7204F0>,"{'company': 'CHOP YEW LIAN', 'date': '23/03/17', 'address': 'LOT PT 5121, PER. KLANG, SEK. 27 40000 SHAH ALAM, SELANGOR', 'total': '30.00'}"
52,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=741x1204 at 0x7F90CA723D00>,"{'company': 'AEON CO. (M) BHD', 'date': '14/03/2018', 'address': '3RD FLR, AEON TAMAN MALURI SC JLN JEJAKA, TAMAN MALURI CHERAS, 55100 KUALA LUMPUR', 'total': '12.25'}"
53,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=593x1277 at 0x7F90CA720250>,"{'company': 'ECONSAVE CASH & CARRY (FC) S/B', 'date': '22/03/18', 'address': 'LOT GO1, KL FESTIVAL CITY, NO. 67 JIN IBU KOTA TMN DANAU KOTA, KL', 'total': '5.15'}"
54,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=709x1477 at 0x7F90CA722980>,"{'company': 'POPULAR BOOK CO. (M) SDN BHD', 'date': '14/03/18', 'address': 'NO 8, JALAN 7/118B, DESA TUN RAZAK 56000 KUALA LUMPUR, MALAYSIA', 'total': '7.95'}"
55,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=624x1500 at 0x7F90CA720130>,"{'company': 'PREMIO STATIONERY SDN BHD', 'date': '20/03/2018', 'address': 'NO 57, JALAN SS 3/29, 47300 PETALING JAYA, SELANGOR', 'total': '13.40'}"
56,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=938x1697 at 0x7F90CB2217E0>,"{'company': 'LIM SENG THO HARDWARE TRADING', 'date': '08/02/2018', 'address': 'NO 7, SIMPANG OFF BATU VILLAGE, JALAN IPOH BATU 5, 51200 KUALA LUMPUR. MALAYSIA', 'total': '10.50'}"
57,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=934x1694 at 0x7F90CB220FA0>,"{'company': 'LIM SENG THO HARDWARE TRADING', 'date': '02/02/2018', 'address': 'NO 7, SIMPANG OFF BATU VILLAGE, JALAN IPOH BATU 5, 51200 KUALA LUMPUR MALAYSIA', 'total': '7.00'}"
58,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=939x2280 at 0x7F90CB2228F0>,"{'company': 'LA STATIONERY SDN BHD', 'date': '09/02/2018', 'address': 'NO.8, JALAN 46/26, TAMAN SRI RAMPAI, 53300 KUALA LUMPUR.', 'total': '56.80'}"
59,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=914x2421 at 0x7F90CB223400>,"{'company': 'KOH SENG HARDWARE', 'date': '01/02/2018', 'address': 'NO. 939, BATU LIMA, JALAN IPOH, 51200 KUALA LUMPUR.', 'total': '5.30'}"
60,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=933x1696 at 0x7F90CB2226E0>,"{'company': 'LIM SENG THO HARDWARE TRADING', 'date': '09/02/2018', 'address': 'NO 7, SIMPANG OFF BATU VILLAGE, JALAN IPOH BATU 5, 51200 KUALA LUMPUR MALAYSIA', 'total': '8.40'}"
61,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=888x2390 at 0x7F90CADBD690>,"{'company': 'KOH SENG HARDWARE', 'date': '04/12/2017', 'address': 'NO. 939, BATU LIMA, JALAN IPOH, 51200 KUALA LUMPUR.', 'total': '848.00'}"
62,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=933x1837 at 0x7F90CADBCE80>,"{'company': 'SUPER TERMINAL SDN BHD', 'date': '20/01/2018', 'address': 'NO. 18 & 19, TAMAN CITY, JALAN KUCHING, 52100 KUALA LUMPUR', 'total': '132.50'}"
63,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=932x2078 at 0x7F90CADBEDD0>,"{'company': 'SYARIKAT PERNIAGAAN GIN KEE', 'date': '04/01/2018', 'address': 'NO 290, JALAN AIR PANAS, SETAPAK, 53200, KUALA LUMPUR.', 'total': '100.17'}"
64,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=931x1870 at 0x7F90CADBEA40>,"{'company': 'SYARIKAT PERNIAGAAN GIN KEE', 'date': '25/01/2018', 'address': 'NO 290, JALAN AIR PANAS, SETAPAK, 53200, KUALA LUMPUR.', 'total': '190.80'}"
65,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=828x2080 at 0x7F90CADBC550>,"{'company': 'BEYOND BROTHERS HARDWARE', 'date': '10/11/2017', 'address': 'LOT 1-0-2, JLN 1/50, DIAMOND SQUARE, OFF JLN GOMBAK 53000 KUALA LUMPUR', 'total': '67.85'}"
66,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=935x2080 at 0x7F90CADBDFC0>,"{'company': 'SYARIKAT PERNIAGAAN GIN KEE', 'date': '03/01/2018', 'address': 'NO 290, JALAN AIR PANAS, SETAPAK, 53200, KUALA LUMPUR.', 'total': '72.08'}"
67,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=933x1974 at 0x7F90CADBD180>,"{'company': 'SYARIKAT PERNIAGAAN GIN KEE', 'date': '30/12/2017', 'address': 'NO 290, JALAN AIR PANAS, SETAPAK, 53200, KUALA LUMPUR', 'total': '89.04'}"
68,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=931x1967 at 0x7F90CADBD5A0>,"{'company': 'SYARIKAT PERNIAGAAN GIN KEE', 'date': '03/01/2018', 'address': 'NO 290, JALAN AIR PANAS, SETAPAK, 53200, KUALA LUMPUR.', 'total': '94.34'}"
69,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=932x1867 at 0x7F90CADBCC10>,"{'company': 'SYARIKAT PERNIAGAAN GIN KEE', 'date': '29/12/2017', 'address': 'NO 290, JALAN AIR PANAS, SETAPAK, 53200, KUALA LUMPUR.', 'total': '10.60'}"
70,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=935x1975 at 0x7F90CB300E20>,"{'company': 'SYARIKAT PERNIAGAAN GIN KEE', 'date': '15/01/2018', 'address': 'NO 290, JALAN AIR PANAS, SETAPAK, 53200, KUALA LUMPUR.', 'total': '11.13'}"
71,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=932x1865 at 0x7F90CB303A90>,"{'company': 'SYARIKAT PERNIAGAAN GIN KEE', 'date': '01/02/2018', 'address': 'NO 290, JALAN AIR PANAS, SETAPAK, 53200, KUALA LUMPUR.', 'total': '36.04'}"
72,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=933x2080 at 0x7F90CB3022F0>,"{'company': 'SYARIKAT PERNIAGAAN GIN KEE', 'date': '31/01/2018', 'address': 'NO 290, JALAN AIR PANAS, SETAPAK, 53200, KUALA LUMPUR.', 'total': '101.76'}"
73,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=934x1869 at 0x7F90CB3039A0>,"{'company': 'SYARIKAT PERNIAGAAN GIN KEE', 'date': '27/01/2018', 'address': 'NO 290, JALAN AIR PANAS, SETAPAK, 53200, KUALA LUMPUR.', 'total': '22.26'}"
74,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=936x1976 at 0x7F90CB302800>,"{'company': 'SYARIKAT PERNIAGAAN GIN KEE', 'date': '02/02/2018', 'address': 'NO 290, JALAN AIR PANAS, SETAPAK, 53200, KUALA LUMPUR.', 'total': '94.13'}"
75,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=439x907 at 0x7F90CB3028C0>,"{'company': 'WESTERN EASTERN STATIONERY SDN. BHD', 'date': '26-02-2018', 'address': '42-46, JLN SULTAN AZLAN SHAH 51200 KUALA LUMPUR', 'total': 'RM7.42'}"
76,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=439x907 at 0x7F90CB302AD0>,"{'company': 'WESTERN EASTERN STATIONERY SDN. BHD', 'date': '26-02-2018', 'address': '42-46, JLN SULTAN AZLAN SHAH 51200 KUALA LUMPUR', 'total': '7.42'}"
77,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1035x2155 at 0x7F90CB303670>,"{'company': 'KEDAI BUKU NEW ACHEIVERS', 'date': '28/12/2017', 'address': 'NO. 12 & 14, JALAN JINJANG 27/54 TAMAN ALAM MEGAH, SEKSYEN 27 40400 SHAH ALAM, SELANGOR D. E.', 'total': '38.15'}"
78,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=958x1922 at 0x7F90CB3022C0>,"{'company': 'ASO ELECTRICAL TRADING SDN BHD', 'date': '13/10/2017', 'address': 'NO 31G, JALAN SEPADU C 25/C, SECTION 25, TAMAN INDUSTRIES, AXIS 40400 SHAH ALAM, SELANGOR.', 'total': '94.60'}"
79,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=787x2204 at 0x7F90CB3032E0>,"{'company': 'KEDAI BUKU NEW ACHEIVERS', 'date': '15/09/2017', 'address': 'NO. 12 & 14, JALAN JINJANG 27/54 TAMAN ALAM MEGAH, SEKSYEN 27 40400 SHAH ALAM, SELANGOR D. E.', 'total': '48.00'}"
80,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=880x2526 at 0x7F90CB3034C0>,"{'company': 'TS TOOLS HARDWARE & MACHINERY SDN BHD', 'date': '21/03/2018', 'address': '59, JALAN BANDAR SATU, PUSAT BANDAR PUCHONG 47160, PUCHONG, SELANGOR', 'total': '7.40'}"
81,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=932x1866 at 0x7F90CB3033A0>,"{'company': 'RESTORAN WAN SHENG', 'date': '17-03-2018', 'address': 'NO.2, JALAN TEMENGGUNG 19/9, SEKSYEN 9, BANDAR MAHKOTA CHERAS, 43200 CHERAS, SELANGOR', 'total': '9.60'}"
82,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=932x1866 at 0x7F90CB303A30>,"{'company': 'RESTORAN WAN SHENG', 'date': '23-03-2018', 'address': 'NO.2, JALAN TEMENGGUNG 19/9, SEKSYEN 9, BANDAR MAHKOTA CHERAS, 43200 CHERAS, SELANGOR', 'total': '6.70'}"
83,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=932x1695 at 0x7F90CB303880>,"{'company': 'RESTORAN WAN SHENG', 'date': '21-03-2018', 'address': 'NO.2, JALAN TEMENGGUNG 19/9, SEKSYEN 9, BANDAR MAHKOTA CHERAS, 43200 CHERAS, SELANGOR', 'total': '4.80'}"
84,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=932x1781 at 0x7F90CA71FF10>,"{'company': 'RESTORAN WAN SHENG', 'date': '10-03-2018', 'address': 'NO.2, JALAN TEMENGGUNG 19/9, SEKSYEN 9, BANDAR MAHKOTA CHERAS, 43200 CHERAS, SELANGOR', 'total': '7.20'}"
85,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=932x1704 at 0x7F90CA71FF40>,"{'company': 'RESTORAN WAN SHENG', 'date': '07-03-2018', 'address': 'NO.2, JALAN TEMENGGUNG 19/9, SEKSYEN 9, BANDAR MAHKOTA CHERAS, 43200 CHERAS, SELANGOR', 'total': '4.80'}"
86,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=615x1811 at 0x7F90CA71FD90>,"{'company': 'KAISON FURNISHING SDN BHD', 'date': '25-03-18', 'address': 'LOT NO. L3-012, LEVEL 3, MYTOWN SHOPPING CENTRE, NO. 6, JALAN COCHRANE, SEKSYEN 90 55100 KUALA LUMPUR.', 'total': '18.70'}"
