,sentence_id,tokens,labels,ner_tags
119,119,['X'],['O'],[0]
120,120,['3.88'],['O'],[0]
121,121,['3.88'],['O'],[0]
122,122,"['ITEM(S)', ':', '4']","['O', 'O', 'O']","[0, 0, 0]"
123,123,"['QTY(S)', ':', '4']","['O', 'O', 'O']","[0, 0, 0]"
124,124,['TOTAL'],['O'],[0]
125,125,"['LOT', '1851-A', '&', '1851-B,', 'JALAN', 'KPB', '6,']","['B-address', 'I-address', 'I-address', 'I-address', 'I-address', 'I-address', 'I-address']","[3, 4, 4, 4, 4, 4, 4]"
126,126,"['RM', '33.92']","['O', 'O']","[0, 0]"
127,127,"['ROUNDING', 'ADJUSTMENT']","['O', 'O']","[0, 0]"
128,128,"['-RM', '0.02']","['O', 'O']","[0, 0]"
129,129,"['TOTAL', 'ROUNDED']","['O', 'O']","[0, 0]"
130,130,"['RM', '33.90']","['O', 'B-total']","[0, 7]"
131,131,['CASH'],['O'],[0]
132,132,"['RM', '50.00']","['O', 'O']","[0, 0]"
133,133,['CHANGE'],['O'],[0]
134,134,"['RM', '16.10']","['O', 'O']","[0, 0]"
135,135,"['12-01-19', '21:13', 'SH01', 'ZK09']","['B-date', 'O', 'O', 'O']","[5, 0, 0, 0]"
136,136,"['KAWASAN', 'PERINDUSTRIAN', 'BALAKONG,']","['I-address', 'I-address', 'I-address']","[4, 4, 4]"
137,137,"['T4', 'R000027830']","['O', 'O']","[0, 0]"
138,138,"['OPERATOR', 'TRAINEE', 'CASHIER']","['O', 'O', 'O']","[0, 0, 0]"
139,139,"['EXCHANGE', 'ARE', 'ALLOWED', 'WITHIN']","['O', 'O', 'O', 'O']","[0, 0, 0, 0]"
140,140,"['7', 'DAYS', 'WITH', 'RECEIPT.']","['O', 'O', 'O', 'O']","[0, 0, 0, 0]"
141,141,"['STRICTLY', 'NO', 'CASH', 'REFUND.']","['O', 'O', 'O', 'O']","[0, 0, 0, 0]"
142,142,"['43300', 'SERI', 'KEMBANGAN,', 'SELANGOR']","['I-address', 'I-address', 'I-address', 'I-address']","[4, 4, 4, 4]"
143,143,"['(MR', 'DIY', 'TESCO', 'TERBAU)']","['I-address', 'I-address', 'I-address', 'I-address']","[4, 4, 4, 4]"
144,144,['-INVOICE-'],['O'],[0]
145,145,"['CHOPPING', 'BOARD', '35.5X25.5CM', '803M#']","['O', 'O', 'O', 'O']","[0, 0, 0, 0]"
146,146,"['TAN', 'WOON', 'YANN']","['O', 'O', 'O']","[0, 0, 0]"
147,147,"['DOC', 'NO']","['O', 'I-address']","[0, 4]"
148,148,['CS00031663'],['O'],[0]
149,149,['DATE'],['O'],[0]
150,150,['25/12/2018'],['B-date'],[5]
151,151,['CASHIER'],['O'],[0]
152,152,['USER'],['O'],[0]
153,153,['TIME'],['O'],[0]
154,154,"['12', '31', '00']","['O', 'O', 'O']","[0, 0, 0]"
155,155,['SALESPERSON'],['O'],[0]
156,156,['REF.'],['O'],[0]
157,157,"['YONGFATT', 'ENTERPRISE']","['B-company', 'I-company']","[1, 2]"
158,158,['ITEM'],['O'],[0]
159,159,['QTY'],['O'],[0]
160,160,['S/PRICE'],['O'],[0]
161,161,['AMOUNT'],['O'],[0]
162,162,['TAX'],['O'],[0]
163,163,['E8318'],['O'],[0]
164,164,['1'],['O'],[0]
165,165,['80.91'],['O'],[0]
166,166,['80.91'],['O'],[0]
167,167,['SR'],['O'],[0]
168,168,['(JM0517726)'],['O'],[0]
169,169,"['ELEGANT', 'SCHTR', 'BAG', '15']","['O', 'O', 'O', 'O']","[0, 0, 0, 0]"
170,170,"['TOTAL', 'QTY']","['O', 'O']","[0, 0]"
171,171,['1'],['O'],[0]
172,172,['80.91'],['O'],[0]
173,173,"['TOTAL', 'SALES', '(EXCLUDING', 'GST)', ':']","['O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0]"
174,174,['80.91'],['O'],[0]
175,175,"['DISCOUNT', ':']","['O', 'O']","[0, 0]"
176,176,['0.00'],['O'],[0]
177,177,"['TOTAL', 'GST', ':']","['O', 'O', 'O']","[0, 0, 0]"
178,178,['0.00'],['O'],[0]
179,179,"['NO', '122.124', 'JALAN', 'DEDAP', '13']","['B-address', 'I-address', 'I-address', 'I-address', 'I-address']","[3, 4, 4, 4, 4]"
180,180,['ROUNDING'],['O'],[0]
181,181,['-0.01'],['O'],[0]
182,182,"['TOTAL', 'SALES', '(INCLUSIVE', 'OF', 'GST)', ':']","['O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0]"
183,183,['80.90'],['B-total'],[7]
184,184,"['CASH', ':']","['O', 'O']","[0, 0]"
185,185,['100.00'],['O'],[0]
186,186,"['CHANGE', ':']","['O', 'O']","[0, 0]"
187,187,['19.10'],['O'],[0]
188,188,"['GST', 'SUMMARY']","['O', 'O']","[0, 0]"
189,189,"['TAX', 'CODE']","['O', 'O']","[0, 0]"
190,190,"['81100', 'JOHOR', 'BAHRU']","['I-address', 'I-address', 'I-address']","[4, 4, 4]"
191,191,['%'],['O'],[0]
192,192,"['AMT', '(RM)']","['O', 'O']","[0, 0]"
193,193,"['TAX', '(RM)']","['O', 'O']","[0, 0]"
194,194,['SR'],['O'],[0]
195,195,['0'],['O'],[0]
196,196,['80.91'],['O'],[0]
197,197,['0.00'],['O'],[0]
198,198,"['TOTAL', ':']","['O', 'O']","[0, 0]"
199,199,['80.91'],['O'],[0]
200,200,['0.00'],['O'],[0]
201,201,"['TEL', '07-3523888']","['O', 'O']","[0, 0]"
202,202,"['GOODS', 'SOLD', 'ARE', 'NOT', 'REFUNDABLE', 'ONLY']","['O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0]"
203,203,"['GST', 'ID:', '000849813504']","['O', 'O', 'O']","[0, 0, 0]"
204,204,"['SIMPLIFIED', 'TAX', 'INVOICE']","['O', 'O', 'O']","[0, 0, 0]"
205,205,['CASH'],['O'],[0]
206,206,"['TAN', 'WOON', 'YANN']","['O', 'O', 'O']","[0, 0, 0]"
207,207,"['WA45', '/2A', '-', '12']","['O', 'O', 'O', 'O']","[0, 0, 0, 0]"
208,208,['9555916500133'],['O'],[0]
209,209,['1'],['O'],[0]
210,210,['X'],['O'],[0]
211,211,['3.11'],['O'],[0]
212,212,['3.11'],['O'],[0]
213,213,"[""KILAT'"", 'ECO', 'AUTO', 'WASH', '&WAX', 'EW-1000-1L']","['O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0]"
214,214,"['WA44-A', '-', '12']","['O', 'O', 'O']","[0, 0, 0]"
215,215,['9555916500126'],['O'],[0]
216,216,['1'],['O'],[0]
217,217,"['MR', 'D.I.Y.', '(M)', 'SDN', 'BHD']","['B-company', 'I-company', 'I-company', 'I-company', 'I-company']","[1, 2, 2, 2, 2]"
218,218,['X'],['O'],[0]
219,219,['4.62'],['O'],[0]
220,220,['4.62'],['O'],[0]
221,221,"['WD40', '27ML', 'MOO', '2572']","['O', 'O', 'O', 'O']","[0, 0, 0, 0]"
222,222,"['WA43-A', '-', '24']","['O', 'O', 'O']","[0, 0, 0]"
223,223,['079567600084'],['O'],[0]
224,224,['1'],['O'],[0]
225,225,['X'],['O'],[0]
226,226,['11.23'],['O'],[0]
227,227,['11.23'],['O'],[0]
228,228,"['(CO.', 'RFG', ':', '860671-D)']","['O', 'O', 'O', 'O']","[0, 0, 0, 0]"
229,229,"['KLEENSO', 'AJAIB', '99', 'SERAI', 'WANYI', '900G']","['O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0]"
230,230,"['WDOO', '-', '15']","['O', 'O', 'O']","[0, 0, 0]"
231,231,['9555651400385'],['O'],[0]
232,232,['1'],['O'],[0]
233,233,['X'],['O'],[0]
234,234,['7.45'],['O'],[0]
235,235,['7.45'],['O'],[0]
236,236,"['HANDKERCHIEF', '71386#2PCS']","['O', 'O']","[0, 0]"
237,237,"['PI12PJ11-4', '-', '6/300']","['O', 'O', 'O']","[0, 0, 0]"
238,238,['9090822'],['O'],[0]
239,239,"['LOT', '1851-A', '&', '1851-B,', 'JALAN', 'KPB', '6,']","['B-address', 'I-address', 'I-address', 'I-address', 'I-address', 'I-address', 'I-address']","[3, 4, 4, 4, 4, 4, 4]"
240,240,['1'],['O'],[0]
241,241,['X'],['O'],[0]
242,242,['4.50'],['O'],[0]
243,243,['4.50'],['O'],[0]
244,244,"['ITEM', '(S)', ':', '5']","['O', 'O', 'O', 'O']","[0, 0, 0, 0]"
245,245,"['QTY(S)', ':', '5']","['O', 'O', 'O']","[0, 0, 0]"
246,246,['TOTAL'],['O'],[0]
247,247,"['RM', '30.91']","['O', 'O']","[0, 0]"
248,248,"['ROUNDING', 'ADJUSTMENT']","['O', 'O']","[0, 0]"
249,249,"['RM', '0.01']","['O', 'O']","[0, 0]"
250,250,"['KAWASAN', 'PERINDUSTRIAN', 'BALAKONG,']","['I-address', 'I-address', 'I-address']","[4, 4, 4]"
251,251,"['TOTAL', 'ROUNDED']","['O', 'O']","[0, 0]"
252,252,"['RM', '30.90']","['O', 'B-total']","[0, 7]"
253,253,['CASH'],['O'],[0]
254,254,"['RM', '51.00']","['O', 'O']","[0, 0]"
255,255,['CHANGE'],['O'],[0]
256,256,"['RM', '20.10']","['O', 'O']","[0, 0]"
257,257,"['18-11-18', '13', ':', '58', 'SH01', 'ZI53']","['B-date', 'O', 'O', 'O', 'O', 'O']","[5, 0, 0, 0, 0, 0]"
258,258,"['T2', 'R000002902']","['O', 'O']","[0, 0]"
259,259,"['UPERATOR', 'TRAINEE', 'CASHIER']","['O', 'O', 'O']","[0, 0, 0]"
260,260,"['EXCHANGE', 'ARE', 'ALLOWED', 'WITHIN']","['O', 'O', 'O', 'O']","[0, 0, 0, 0]"
261,261,"['43300', 'SERI', 'KEMBANGAN,', 'SELANGOR']","['I-address', 'I-address', 'I-address', 'I-address']","[4, 4, 4, 4]"
262,262,"['7', 'DAYS', 'WITH', 'RECEIPT.']","['O', 'O', 'O', 'O']","[0, 0, 0, 0]"
263,263,"['STRICTLY', 'NO', 'CASH', 'REFUND.']","['O', 'O', 'O', 'O']","[0, 0, 0, 0]"
264,264,"['(TESCO', 'PUTRA', 'NILAI)']","['I-address', 'I-address', 'I-address']","[4, 4, 4]"
265,265,['-INVOICE-'],['O'],[0]
266,266,"['KILAT', 'AUTO', 'ECO', 'WASH', '&', 'SHINE', 'ES1000', '1L']","['O', 'O', 'O', 'O', 'I-address', 'O', 'O', 'O']","[0, 0, 0, 0, 4, 0, 0, 0]"
267,267,"['TAN', 'CHAY', 'YEE']","['O', 'O', 'O']","[0, 0, 0]"
268,268,[':'],['O'],[0]
269,269,"['09/01/2019', '8:01:11', 'PM']","['B-date', 'O', 'O']","[5, 0, 0]"
270,270,['CASHIER'],['O'],[0]
271,271,[':'],['O'],[0]
272,272,['01'],['O'],[0]
273,273,['DESCRIPTION'],['O'],[0]
274,274,['QTY'],['O'],[0]
275,275,['PRICE'],['O'],[0]
276,276,['AMOUNT'],['O'],[0]
277,277,['RM'],['O'],[0]
278,278,"['ABC', 'HO', 'TRADING']","['B-company', 'I-company', 'I-company']","[1, 2, 2]"
279,279,['RM'],['O'],[0]
280,280,['PLASTIC'],['O'],[0]
281,281,['2'],['O'],[0]
282,282,['15.50'],['O'],[0]
283,283,['31.00'],['B-total'],[7]
284,284,"['TOTAL', ':']","['O', 'O']","[0, 0]"
285,285,['31.00'],['O'],[0]
286,286,"['TOTAL', 'AMOUNT:']","['O', 'O']","[0, 0]"
287,287,['31.00'],['O'],[0]
288,288,"['CASH', 'RECEIVED', ':']","['O', 'O', 'O']","[0, 0, 0]"
289,289,"['NO.2&4,JALAN', 'HARMONI', '3/2,']","['O', 'B-address', 'I-address']","[0, 3, 4]"
290,290,['101.00'],['O'],[0]
291,291,"['CHANGE', ':']","['O', 'O']","[0, 0]"
292,292,['70.00'],['O'],[0]
293,293,"['*GOODS', 'SOLD', 'ARE', 'NON-REFUNDABLE*']","['O', 'O', 'O', 'O']","[0, 0, 0, 0]"
294,294,"['***THANK', 'YOU***']","['O', 'O']","[0, 0]"
295,295,"['***PLEASE', 'COME', 'AGAIN***']","['O', 'O', 'O']","[0, 0, 0]"
296,296,"['TAMAN', 'DESA', 'HARMONI.']","['I-address', 'I-address', 'I-address']","[4, 4, 4]"
297,297,"['81100', 'BAHRU']","['I-address', 'I-address']","[4, 4]"
298,298,"['07-355', '2616']","['O', 'O']","[0, 0]"
299,299,"['CASH', 'BILL', ':']","['O', 'O', 'O']","[0, 0, 0]"
300,300,['01-143008'],['O'],[0]
301,301,['DATE'],['O'],[0]
302,302,"['TAN', 'CHAY', 'YEE']","['O', 'O', 'O']","[0, 0, 0]"
303,303,"['TAX', 'INVOICE']","['O', 'O']","[0, 0]"
304,304,"['INVOICE', 'NO']","['O', 'I-address']","[0, 4]"
305,305,"[':', 'PEGIV-1030765']","['O', 'O']","[0, 0]"
306,306,['DATE'],['O'],[0]
307,307,"[':', '15/01/2019', '11:05:16', 'AM']","['O', 'B-date', 'O', 'O']","[0, 5, 0, 0]"
308,308,['CASHIER'],['O'],[0]
309,309,"[':', 'NG', 'CHUAN', 'MIN']","['O', 'O', 'O', 'O']","[0, 0, 0, 0]"
310,310,"['SALES', 'PERSON', ':', 'FATIN']","['O', 'O', 'O', 'O']","[0, 0, 0, 0]"
311,311,"['BILL', 'TO']","['O', 'O']","[0, 0]"
312,312,"[':', 'THE', 'PEAK', 'QUARRY', 'WORKS']","['O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0]"
313,313,"['COPY', '***', '***']","['O', 'O', 'O']","[0, 0, 0]"
314,314,['ADDRESS'],['O'],[0]
315,315,[':.'],['O'],[0]
316,316,['DESCRIPTION'],['O'],[0]
317,317,['QTY'],['O'],[0]
318,318,['PRICE'],['O'],[0]
319,319,['AMOUNT'],['O'],[0]
320,320,['000000111'],['O'],[0]
321,321,['1'],['O'],[0]
322,322,['193.00'],['B-total'],[7]
323,323,"['193.00', 'SR']","['O', 'O']","[0, 0]"
324,324,"['OJC', 'MARKETING', 'SDN', 'BHD']","['B-company', 'I-company', 'I-company', 'I-company']","[1, 2, 2, 2]"
325,325,"['KINGS', 'SAFETY', 'SHOES', 'KWD', 'B05']","['O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0]"
326,326,"['QTY:', '1']","['O', 'O']","[0, 0]"
327,327,"['TOTAL', 'EXCLUDE', 'GST:']","['O', 'O', 'O']","[0, 0, 0]"
328,328,['193.00'],['O'],[0]
329,329,"['TOTAL', 'GST', '@6%:']","['O', 'O', 'O']","[0, 0, 0]"
330,330,['0.00'],['O'],[0]
331,331,"['TOTAL', 'INCLUSIVE', 'GST:']","['O', 'O', 'O']","[0, 0, 0]"
332,332,['193.00'],['O'],[0]
333,333,"['ROUND', 'AMT:']","['O', 'O']","[0, 0]"
334,334,['0.00'],['O'],[0]
335,335,"['ROC', 'NO:', '538358-H']","['O', 'O', 'O']","[0, 0, 0]"
336,336,['TOTAL:'],['O'],[0]
337,337,['193.00'],['O'],[0]
338,338,"['VISA', 'CARD']","['O', 'O']","[0, 0]"
339,339,['193.00'],['O'],[0]
340,340,['XXXXXXXXXXXX4318'],['O'],[0]
341,341,"['APPROVAL', 'CODE:000']","['O', 'O']","[0, 0]"
342,342,"['GOODS', 'SOLD', 'ARE', 'NOT', 'RETURNABLE', '&', 'REFUNDABLE']","['O', 'O', 'O', 'O', 'O', 'I-address', 'O']","[0, 0, 0, 0, 0, 4, 0]"
343,343,"['****THANK', 'YOU.', 'PLEASE', 'COME', 'AGAIN.****']","['O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0]"
344,344,"['NO', '2', '&', 'JALAN', 'BAYU']","['B-address', 'I-address', 'I-address', 'I-address', 'I-address']","[3, 4, 4, 4, 4]"
345,345,"['BANDAR', 'SERI', 'ALAM,']","['I-address', 'I-address', 'I-address']","[4, 4, 4]"
346,346,"['81750', 'MASAI,', 'JOHOR']","['O', 'I-address', 'I-address']","[0, 4, 4]"
347,347,"['TEL:07-388', '2218', 'FAX:07-388', '8218']","['O', 'O', 'O', 'O']","[0, 0, 0, 0]"
348,348,['EMAIL:NG@OJCGROUP.COM'],['O'],[0]
349,349,"['TAN', 'CHAY', 'YEE']","['O', 'O', 'O']","[0, 0, 0]"
350,350,"['INVOICE', 'NO']","['O', 'I-address']","[0, 4]"
351,351,"[':', 'PEGIV-1030531']","['O', 'O']","[0, 0]"
352,352,['DATE'],['O'],[0]
353,353,"['02/01/2019', '2:47:14', 'PM']","['B-date', 'O', 'O']","[5, 0, 0]"
354,354,['CASHIER'],['O'],[0]
355,355,"[':', 'RHYS', 'TAN']","['O', 'O', 'O']","[0, 0, 0]"
356,356,"['SALES', 'PERSON', ':', 'FATIN']","['O', 'O', 'O', 'O']","[0, 0, 0, 0]"
357,357,['DESCRIPTION'],['O'],[0]
358,358,['QTY'],['O'],[0]
359,359,['PRICE'],['O'],[0]
360,360,"['OJC', 'MARKETING', 'SDN', 'BHD']","['B-company', 'I-company', 'I-company', 'I-company']","[1, 2, 2, 2]"
361,361,['AMOUNT'],['O'],[0]
362,362,['000000111'],['O'],[0]
363,363,['1'],['O'],[0]
364,364,['170.00'],['B-total'],[7]
365,365,['170.00'],['O'],[0]
366,366,"['KINGS', 'SAFETY']","['O', 'O']","[0, 0]"
367,367,['P004'],['O'],[0]
368,368,"['SHOES', 'KWD', '805']","['O', 'O', 'O']","[0, 0, 0]"
369,369,"['QTY:', '1', 'TOTAL', 'ITEM', 'DISCOUNT:']","['O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0]"
370,370,['0.00'],['O'],[0]
371,371,"['ROC', 'NO:', '538358-H']","['O', 'O', 'O']","[0, 0, 0]"
372,372,"['TOTAL', 'AMOUNT:']","['O', 'O']","[0, 0]"
373,373,['170.00'],['O'],[0]
374,374,"['ROUND', 'AMT:']","['O', 'O']","[0, 0]"
375,375,['0.00'],['O'],[0]
376,376,['TOTAL:'],['O'],[0]
377,377,['170.00'],['O'],[0]
378,378,"['VISA', 'CARD']","['O', 'O']","[0, 0]"
379,379,['170.00'],['O'],[0]
380,380,['XXXXXXXXXXXX4318'],['O'],[0]
381,381,"['APPROVAL', 'CODE:', '123']","['O', 'O', 'O']","[0, 0, 0]"
382,382,"['NO', '2', '&', 'JALAN', 'BAYU']","['B-address', 'I-address', 'I-address', 'I-address', 'I-address']","[3, 4, 4, 4, 4]"
383,383,"['GOODS', 'SOLD', 'ARE', 'NOT', 'RETURNABLE', '&', 'REFUNDABLE']","['O', 'O', 'O', 'O', 'O', 'I-address', 'O']","[0, 0, 0, 0, 0, 4, 0]"
384,384,"['****THANK', 'YOU,', 'PLEASE', 'COME', 'AGAIN.****']","['O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0]"
385,385,"['BANDAR', 'SERI', 'ALAM,']","['I-address', 'I-address', 'I-address']","[4, 4, 4]"
386,386,"['81750', 'MASAI,', 'JOHOR']","['I-address', 'I-address', 'I-address']","[4, 4, 4]"
387,387,"['TEL:07-388', '2218', 'FAX:07-388', '8218']","['O', 'O', 'O', 'O']","[0, 0, 0, 0]"
388,388,"['EMAIL:', 'NG@OJCGROUP.COM']","['O', 'O']","[0, 0]"
389,389,"['CASH', 'BILL']","['O', 'O']","[0, 0]"
390,390,"['TAN', 'CHAY', 'YEE']","['O', 'O', 'O']","[0, 0, 0]"
391,391,['SOONHUAT2000@HOTMAIL.COM'],['O'],[0]
392,392,"['GST', 'ID', ':', '002116837376']","['O', 'O', 'O', 'O']","[0, 0, 0, 0]"
393,393,"['CASH', 'SALES']","['O', 'O']","[0, 0]"
394,394,"['DOC', 'NO.']","['O', 'O']","[0, 0]"
