,text_lines,doc_id,line_id
317,"70549 1 160.00 160.00 160.00
",X00016469672,29
318,"GIANT 606 OVERFLOW ASSY
",X00016469672,30
319,"1071 1 17.00 17.00 17.00
",X00016469672,31
320,"ENGINE O1L
",X00016469672,32
321,"70791 1 10.00 1000 10.00
",X00016469672,33
322,"GREASE FOR TOOLS 40ML (AKODA)
",X00016469672,34
323,"
",X00016469672,35
324,"70637 1 6.00 6.00 6.00
",X00016469672,36
325,"EY20 PLUG CHAMPION
",X00016469672,37
326,"1843 1 goo 8.00 8.00
",X00016469672,38
327,"STARTER TALI
",X00016469672,39
328,"70197 1 10.00 10.00 10.00
",X00016469672,40
329,"EY20 STARTER HANDLE
",X00016469672,41
330,"70561 2 18.00 18.00 36.00
",X00016469672,42
331,"H040 1L COTIN
",X00016469672,43
332,"—Toalay 9 se700
",X00016469672,44
333,"Total Sales ; 327.00
",X00016469672,45
334,"Discount 0.00
",X00016469672,46
335,"Total 0.00
",X00016469672,47
336,"Rounding 0,00
",X00016469672,48
337,"
",X00016469672,49
338,"Total Sales : 327.00
",X00016469672,50
339,"
",X00016469672,51
340,"CASH : 327.00
",X00016469672,52
341,"Change : 0.00
",X00016469672,53
342,"GOODS SOLD ARE NOT RETURNABLE, THANK YOU.
",X00016469672,54
343,,X00016469672,55
344,"tan chay yee
",X00016469676,1
345,"
",X00016469676,2
346,"Sufi. HOTOR ( SUNGAT RENGIT ) SON, Bt.
",X00016469676,3
347,"
",X00016469676,4
348,"( 801580-T )
",X00016469676,5
349,"No. 343, Jalan Kurau, Sungai Rengit,
",X00016469676,6
350,"81620 Pengerang, Johor.
",X00016469676,7
351,"el; 07-8263254 Fax: 07-8266888
",X00016469676,8
352,"
",X00016469676,9
353,"INVOICE
",X00016469676,10
354,"
",X00016469676,11
355,"TTEM/DESC. QUY U.PRICE RNCTOTAL)
",X00016469676,12
356,"4132 1 20.00 20. 00
",X00016469676,13
357,"CROCS 300X17 TUBES
",X00016469676,14
358,"
",X00016469676,15
359,"SUB TOTAL : 20.00
",X00016469676,16
360,"
",X00016469676,17
361,"ROUNDING ADJUSTMENT : 0.00
",X00016469676,18
362,"GRAND TOTAL : 20.00
",X00016469676,19
363,"
",X00016469676,20
364,"CASH: — 20.00
",X00016469676,21
365,"
",X00016469676,22
366,"CHANGE : 0.00
",X00016469676,23
367,"
",X00016469676,24
368,"23-01-2019 13:14:15 PM, PRINT BY: root
",X00016469676,25
369,"TOKEN NO: 0, STATION ID: Al, PID: POS
",X00016469676,26
370,"INVOICE NO: 22497
",X00016469676,27
371,"
",X00016469676,28
372,"Thanks Your Support 4 WwW 0)
",X00016469676,29
373,,X00016469676,30
374,"Ad>odige
",X51005200938,1
375,"
",X51005200938,2
376,"PERNIAGAAR ZHENG HUI
",X51005200938,3
377,"JMOS2B956-V
",X51005200938,4
378,"NO.89 JALAN PERMAS 9/5
",X51005200938,5
379,"BANDAR BARU PERMAS JAYA
",X51005200938,6
380,"81760 JOHOR BAHRU
",X51005200938,7
381,"TEL: 07-386 7524 FAX: 07-386 3793.
",X51005200938,8
382,"
",X51005200938,9
383,"GST NO : odoan0ss9624
",X51005200938,10
384,"SIMPLIFIED TAX INVOICE
",X51005200938,11
385,"“GOGIANT ENGINEERING ( °
",X51005200938,12
386,"
",X51005200938,13
387,"Recslptz# CS00082562
",X51005200938,14
388,"
",X51005200938,15
389," 
",X51005200938,16
390,"
",X51005200938,17
391," 
",X51005200938,18
392,"   
",X51005200938,19
393,"
",X51005200938,20
394," 
",X51005200938,21
395,"
",X51005200938,22
396," 
",X51005200938,23
397,"
",X51005200938,24
398," 
",X51005200938,25
399,"
",X51005200938,26
400,"Salesperson: Date: 1202/2018
",X51005200938,27
401,"Cashier: USER Time:08:30°20
",X51005200938,28
402,"(RM,
",X51005200938,29
403,"Amount
",X51005200938,30
404,"18.00
",X51005200938,31
405,"SR: 11"" PROWESS H/DUTY SILICONE GUN G-D2
",X51005200938,32
406,"9586075109147 oA 3 7.00 21.00
",X51005200938,33
407,"SR: XTRASEAL RIV ACETIC SILICONE SA-107
",X51005200938,34
408,"Orda GBo1 1800 48.00
",X51005200938,35
409,"SR: CENTRAL PUNGH SET 3PCS- 1/4"",5/32"".1/4""
",X51005200938,36
410,"12528 ae 1 8000 saac
",X51005200938,37
411,"‘SR, 24"" MARKSMAN PIPE WRENCH,
",X51005200938,38
412,"2016 GA 3 070 24C
",X51005200938,39
413,"SR: PVC WIRE TAPE 1PC X 7YD
",X51005200938,40
414,"TOT aye
",X51005200938,41
415,"(Excluded GST) Sub Total (RM) 706.40
",X51005200938,42
416,"Discount (Ri) 0.00
",X51005200938,43
417,"Total OST (RM) 637
",X51005200938,44
418,"Rounding (RM) : ~0.02
",X51005200938,45
419,"
",X51005200938,46
420,"Total (Fay + 112.46
",X51005200938,47
421,"GASH: 112.48
",X51005200938,48
422,"Change (RM): 6.00
",X51005200938,49
423,"
",X51005200938,50
424,"GST SUMMARY
",X51005200938,51
425,"
",X51005200938,52
426,"  
",X51005200938,53
427,"
",X51005200938,54
428," 
",X51005200938,55
429,"
",X51005200938,56
430,"GOODS SOLD ARE NOT RETURNABLE,
",X51005200938,57
431,"THANK YOU,
",X51005200938,58
432,,X51005200938,59
433,"ert / a
",X51005230617,1
434,"1950 Gs
",X51005230617,2
435,"
",X51005230617,3
436,"Gerbang Alaf Restaurants Sdn Bhd
",X51005230617,4
437,"(65351-M)
",X51005230617,5
438,"formerly known as
",X51005230617,6
439,"Golden Arches Restaurants Sdn biid
",X51005230617,7
440,"Licensee of Mcvonald's
",X51005230617,8
441,"Level 6, Bangunan TH, Damansara Uptown3
",X51005230617,9
442,"No.3, Jalan $821/39,47400 Petaling Jaya
",X51005230617,10
443,"Selangor
",X51005230617,11
444,"(GST ID No: 000504664064)
",X51005230617,12
445,"McDonald's BHP Taman Melawat i(#328)
",X51005230617,13
446,"Tel No. 03-4162-2318
",X51005230617,14
447,"TAX INVOICE
",X51005230617,15
448,"
",X51005230617,16
449,"MFY Side 1
",X51005230617,17
450,"
",X51005230617,18
451,"INV# 003281900229170
",X51005230617,19
452,"ORD #50 -REG #19- 18/01/2018 10:27:03
",X51005230617,20
453,"
",X51005230617,21
454,"QTY ITEM TOTAL
",X51005230617,22
455,"2 ChicMcMuf fin 11.00
",X51005230617,23
456,"1M Porridge 5.60
",X51005230617,24
457,"1 BM 2HotCakes 10.00
",X51005230617,25
458,"
",X51005230617,26
459,"1 L Coke
",X51005230617,27
460,"
",X51005230617,28
461,"TakeOut Total (incl GST) 26.60
",X51005230617,29
462,"
",X51005230617,30
463,"Total Rounded 26.60
",X51005230617,31
464,"
",X51005230617,32
465,"Cash Tendered 90.00
",X51005230617,33
466,"
",X51005230617,34
467,"Change 73,40
",X51005230617,35
468,"
",X51005230617,36
469,"TOTAL INCLUDES 6% GST
",X51005230617,37
470,"
",X51005230617,38
471,"We'd love to hear your feedbe
",X51005230617,39
472,"3it www.mcdfeedback .com.
",X51005230617,40
473,"
",X51005230617,41
474,"Download My McD Feedback from
",X51005230617,42
475,"Google Play/App Store
",X51005230617,43
476,"
",X51005230617,44
477,"to share your experience
",X51005230617,45
478,"
",X51005230617,46
479,"Thank You and Please Come Again.
",X51005230617,47
480,"Customer Service Hotline : 03-2726-5600
",X51005230617,48
481,"
",X51005230617,49
482," 
",X51005230617,50
483,,X51005230617,51
484,"SAM SAM TRADING CO
",X51005255805,1
485,"(742014-W)
",X51005255805,2
486,"67,JLN MEWAH 25/63 THN SRI MUDA,
",X51005255805,3
487,"40400 SHAH ALAM.
",X51005255805,4
488,"TEL/FAX : 03-51213881
",X51005255805,5
489,"BST NO: 001006288896
",X51005255805,6
490,"
",X51005255805,7
491,"TAX INVOICE a
",X51005255805,8
492,"
",X51005255805,9
493,"HE EOG UNICORN TWIN SUPER GLUE USG-99-
",X51005255805,10
494,"9997368063013 1X $.20 5.20 §
",X51005255805,11
495,"
",X51005255805,12
496,"$5 EZL A4 CYBER MIX COLOR PAPER 100758
",X51005255805,13
497,"
",X51005255805,14
498,"2°7""008 1X 8.90 8.90 S
",X51005255805,15
499,"No. Qtyss 2 No. Items: 2
",X51005255805,16
500,"TAX AMT {S) 4% Ri 13.30
",X51005255805,17
501,"GST 62 RM 0.80
",X51005255805,18
502,"TAX AMT (Z) 0% RM 0.00
",X51005255805,19
503,"GST 0% RM 0.00
",X51005255805,20
504,"TAX ANT (E) 62 RH 0.00
",X51005255805,21
505,"EXC GST 6% RM 0.00
",X51005255805,22
506,"TOTAL RM 14.10
",X51005255805,23
507,"CASH RH 20.00
",X51005255805,24
508,"CHANGE RN 3.96
",X51005255805,25
509,"
",X51005255805,26
510,"= Sa a
",X51005255805,27
511,"
",X51005255805,28
512,"THANK YOU FOR SHOPPING
",X51005255805,29
513,"GOODS SOLD ARE NOT RETURNABLE,
",X51005255805,30
514,"
",X51005255805,31
515,"Frid-v, 29-12-2017 Time : 20:17
",X51005255805,32
516,"Cas, c : SAN SAM
",X51005255805,33
517,"Wc5 SWH 01 InvsR000721134
",X51005255805,34
518,,X51005255805,35
519,"Tot gywene
",X51005268200,1
520,"alam) SON BHD
",X51005268200,2
521,"2737-X
",X51005268200,3
522,"NO. 17-6, JALAN SEVIA INUAH
",X51005268200,4
523,"(X) UI3/X, SETTA ALA
",X51005268200,5
524,"SEKSYEN U13, 40170 SHAH ALAN
",X51005268200,6
525,"TEL: O12 ~ 665i7a3 FAX: us - 33633608
",X51005268200,7
526,"GST NO: HuOssa5zE769
",X51005268200,8
527,"
",X51005268200,9
528,"SUAPLIFTED TAX THVODCE
",X51005268200,10
529,"
",X51005268200,11
530,"RECEIPT Wz CSPO393921 DATE: 15/06/2017
",X51005268200,12
531,"SALESPERSON : AHOU2 TIME: 15428200
",X51005268200,13
532,"
",X51005268200,14
533,"ITEH Ory U/P  ANOUNT
",X51005268200,15
534,"RH
",X51005268200,16
535,"
",X51005268200,17
536,"Rit}
",X51005268200,18
537,"2000160000024 1 15.0 100 3
",X51005268200,19
538,"20"" 1.6KG X SOGHM BIG SIREICH FILN 72?
",X51005268200,20
539,"
",X51005268200,21
540,"-uTAL QUANTITY 1
",X51005268200,22
541,"
",X51005268200,23
542,"SUB-TOTAL (6ST) 5,00
",X51005268200,24
543,"WISC 01.00
",X51005268200,25
544,"
",X51005268200,26
545,"ROUNDING 0.00
",X51005268200,27
546,"TOTAL 15.00
",X51005268200,28
547,"CASH 15.00
",X51005268200,29
548,"CHANGE 6.00
",X51005268200,30
549,"
",X51005268200,31
550,"TAX TOTAL: 0.85
",X51005268200,32
551,"
",X51005268200,33
552,"GOODS SOLD ARE NOT REFUNDABLE,
",X51005268200,34
553,"~~ THANE YOU FOR CHOUSING Us.
",X51005268200,35
554,"
",X51005268200,36
555,", 3 PROVIDE ORIGINAL BILL FOR ;
",X51005268200,37
556,"BICHANGE WITHIN 1 SEEK PROH IRANSA/TION
",X51005268200,38
557,"GOODS HUSS BE IN ORIGINAL STATE 70 BE
",X51005268200,39
558,"ENTITLED FOR EXCHANG.
",X51005268200,40
559,,X51005268200,41
560,"HOME MASTER HARDWARE &
",X51005268262,1
561,"
",X51005268262,2
562,"ELECTRICAL
",X51005268262,3
563,"NQ.113G & 1156, JALAN SETIA GEMBILANG
",X51005268262,4
564,"
",X51005268262,5
565,"U13/8G BANDAR SETIA ALAM,
",X51005268262,6
566,"40770 BANDAR SETIA ALAM,
",X51005268262,7
567,"SELANGOR,
",X51005268262,8
568,"
",X51005268262,9
569,"Company Reg Mo. SA03711951-F
",X51005268262,10
570,"GST Reg No. 001837511166
",X51005268262,11
571,"
",X51005268262,12
572,"TAK INVOICE
",X51005268262,13
573,"Involee No.; «CS 47832
",X51005268262,14
574,"Date: 22/12/2017 14:03
",X51005268262,15
575,"Cashler #: CASHIER
",X51005268262,16
576,"RM Code
",X51005268262,17
577,"24NIMW7Y M.ONE TAPE
",X51005268262,18
578,"1.00 ¥ 15.90 15.90 SR
",X51005268262,19
579,"Subtoiat : 75.90
",X51005268262,20
580,"TotalExclofGST =” 45.00
",X51005268262,21
581,"Tota! Incl. of GST 15.90
",X51005268262,22
582,"TotalAmtRounded 45.90
",X51005268262,23
583,"Payment : 50.00
",X51005268262,24
584,"Change Due : 34,70
",X51005268262,25
585,"
",X51005268262,26
586,"» Total tema) +4
",X51005268262,27
587,"GS ummary Amouni(RM) Tax (RN)
",X51005268262,28
588,"SR @a% 18.00 a.90
",X51005268262,29
589,"
",X51005268262,30
590,"sissneees Tela yu taeesnees
",X51005268262,31
591,"ARY GOODS RETURN PLEASE 00 WITHIN
",X51005268262,32
592,"¢ CAYS WITH ORIGINAL RECEIPT Ta”
",X51005268262,33
593,,X51005268262,34
594,"RESTORAN HASSANBISTRO
",X51005268400,1
595,"
",X51005268400,2
596,"NO.2-1-1 JALAN “FITA PRIMA Q
",X51005268400,3
597,"U 13/0 SETI, al AM 40170
",X51005268400,4
598,"
",X51005268400,5
599,"SHAW ALAM
",X51005268400,6
600,"
",X51005268400,7
601,"SELAanbor
",X51005268400,8
602,"RARKKAMAAARAAEKEANE vx KEKE KEKE XAKKCKAKE
",X51005268400,9
603,"
",X51005268400,10
604,"TAX INVOICE
",X51005268400,11
605,"HXKLAKAKEKAAA KAA AA LAKAKAAKAARA KARA KKAKEKXE
",X51005268400,12
606,"TERMINAL : Cl
",X51005268400,13
607,"CASHIER : HASSAN
",X51005268400,14
608,"BILL NO : €1-0170778
",X51005268400,15
609,"DATE : 12/28/2017 10:17:32 PM
",X51005268400,16
610,"TOKEN : CT
",X51005268400,17
611,"TABLE : CT
",X51005268400,18
612,"
",X51005268400,19
613,"Pru. Bt Qty U.Price GST Total
",X51005268400,20
614,"HAKANAN: oho ios NU capac
",X51005268400,21
615,"1 18.00 Q 15.00 zp
",X51005268400,22
616,"Ores 2 (00 oo See
",X51005268400,23
617,"Tota] Qty = 1.00
",X51005268400,24
618,"Sr Sub. Total ie Sees a ee
",X51005268400,25
619,"Discount a na
",X51005268400,26
620,"Total Excl.6% 6S) Ry eves
",X51005268400,27
621,"GST 6 fy Ss
",X51005268400,28
622,"Total Incl.6% Gst Rx ea
",X51005268400,29
623,"Rounding RH ne
",X51005268400,30
624,"CASH 2 pe ae
",X51005268400,31
625,"CHANGE nf ne
",X51005268400,32
626,"eer ne s 0
",X51005268400,33
627,"Thank You.Come Again” >>>>--
",X51005268400,34
628,"
",X51005268400,35
629,"2017-12-28 22:17PM
",X51005268400,36
630,,X51005268400,37
631,"A MART
",X51005268472,1
632,"po264195.1)
",X51005268472,2
633,"
",X51005268472,3
634,"NO.23 BATU 10, TAMAN SE a
",X51005268472,4
635,"JALAN KAPAR, 42200 KLANG, S'
",X51005268472,5
636,"
",X51005268472,6
637,"NTOSA,
",X51005268472,7
